loss,accuracy,val_loss,val_accuracy
1.1352272033691406,0.6005011200904846,0.560224711894989,0.844897985458374
0.5266672372817993,0.832962155342102,0.3212120234966278,0.9064934849739075
0.3844347596168518,0.877134382724762,0.24429811537265778,0.929499089717865
0.30309298634529114,0.9032108187675476,0.1997453272342682,0.9476808905601501
0.2582983374595642,0.920100212097168,0.17441442608833313,0.9558441638946533
0.23287424445152283,0.9312360882759094,0.1573527306318283,0.9669758677482605
0.2066425234079361,0.9389383792877197,0.13985849916934967,0.9703153967857361
0.1912347376346588,0.9441351294517517,0.12710316479206085,0.9732838869094849
0.1758044809103012,0.9522086381912231,0.11558017134666443,0.9743970036506653
0.15572059154510498,0.9553637504577637,0.10954765230417252,0.9703153967857361
0.14415447413921356,0.9572197198867798,0.1025782898068428,0.9758812785148621
0.14190486073493958,0.9603748917579651,0.10016901046037674,0.9762523174285889
0.1360783874988556,0.9610245227813721,0.09193292260169983,0.9773654937744141
0.12856903672218323,0.9648292660713196,0.08783363550901413,0.9792208075523376
0.12196382135152817,0.9614884853363037,0.08781269937753677,0.9807050228118896
0.116743303835392,0.9681699872016907,0.08738347887992859,0.9803339242935181
0.11558080464601517,0.968262791633606,0.08468274772167206,0.9777365326881409
0.11038575321435928,0.9680771827697754,0.08304975926876068,0.9792208075523376
0.11078324913978577,0.9675204157829285,0.07651550322771072,0.9814471006393433
0.10354853421449661,0.9684484004974365,0.07733036577701569,0.9818181991577148
0.10054787248373032,0.9716035723686218,0.07893155515193939,0.9810760617256165
0.09771575778722763,0.9710467457771301,0.08253555744886398,0.9810760617256165
0.09407734870910645,0.9721603393554688,0.07337867468595505,0.9836734533309937
0.09904564172029495,0.9715107679367065,0.07121232897043228,0.984415590763092
0.0925411656498909,0.9720675349235535,0.07331455498933792,0.9818181991577148
0.08878643065690994,0.9720675349235535,0.07152498513460159,0.9821892380714417
0.09045297652482986,0.9751299023628235,0.07252749055624008,0.9836734533309937
0.08637621998786926,0.9735523462295532,0.06938465684652328,0.98293137550354
0.08386300504207611,0.9751299023628235,0.0674837976694107,0.9836734533309937
0.08393260836601257,0.9740163087844849,0.06857135891914368,0.9807050228118896
0.08495141565799713,0.9732739329338074,0.06818094849586487,0.9821892380714417
0.08340935409069061,0.9748515486717224,0.0752837210893631,0.9810760617256165
0.0816831886768341,0.9742019176483154,0.06517086923122406,0.9836734533309937
0.07932215929031372,0.976521909236908,0.06828568875789642,0.9840445518493652
0.07508565485477448,0.977449893951416,0.06043652445077896,0.9855287671089172
0.08232264965772629,0.9738307595252991,0.0725630596280098,0.9814471006393433
0.07940808683633804,0.9741091132164001,0.06507375836372375,0.98293137550354
0.06883755326271057,0.978934645652771,0.06596200168132782,0.9847866296768188
0.07196851819753647,0.9769858717918396,0.06107816472649574,0.9855287671089172
0.07151231169700623,0.9790274500846863,0.06307655572891235,0.9847866296768188
0.07500965893268585,0.9768003225326538,0.06435105204582214,0.9836734533309937
0.07057907432317734,0.9777283072471619,0.06230998784303665,0.985899806022644
0.07018925249576569,0.9784706830978394,0.07049309462308884,0.9833024144172668
0.06637150794267654,0.9803266525268555,0.06193297356367111,0.985899806022644
0.07055629044771194,0.9777283072471619,0.06493372470140457,0.9851577281951904
0.0732472762465477,0.9779138565063477,0.06349329650402069,0.9833024144172668
0.06813749670982361,0.9793986678123474,0.06269757449626923,0.984415590763092
0.06179119274020195,0.981997013092041,0.05727946758270264,0.9855287671089172
0.06820561736822128,0.9785634875297546,0.06203155964612961,0.9870129823684692
0.06776904314756393,0.9788418412208557,0.06129065901041031,0.9884971976280212
0.06375191360712051,0.9816258549690247,0.06284580379724503,0.9825602769851685
0.06880240142345428,0.9788418412208557,0.06035582721233368,0.985899806022644
0.0630672350525856,0.9792130589485168,0.058221329003572464,0.9847866296768188
0.05591322109103203,0.9811618328094482,0.06651655584573746,0.9855287671089172
0.05915183573961258,0.981069028377533,0.05572406202554703,0.985899806022644
0.06411685794591904,0.9802338480949402,0.056203894317150116,0.985899806022644
0.05955595523118973,0.9815330505371094,0.06726185977458954,0.9833024144172668
0.05700169876217842,0.9818114042282104,0.06132170557975769,0.9870129823684692
0.059712231159210205,0.9804194569587708,0.0553927905857563,0.9862708449363708
0.06334305554628372,0.9803266525268555,0.057830873876810074,0.985899806022644
0.0618472658097744,0.9806978702545166,0.06115210801362991,0.9855287671089172
0.05725491791963577,0.9829249978065491,0.0587274543941021,0.9877551198005676
0.059375662356615067,0.9811618328094482,0.06084985285997391,0.984415590763092
0.05709607154130936,0.9831106066703796,0.056422002613544464,0.9870129823684692
0.05848432704806328,0.9807906746864319,0.05504336580634117,0.9870129823684692
0.05899712070822716,0.9793986678123474,0.061287663877010345,0.9847866296768188
0.05773505941033363,0.9808834195137024,0.06039555370807648,0.9855287671089172
0.0547461211681366,0.9822754263877869,0.05931692197918892,0.9877551198005676
0.05122602730989456,0.9827394485473633,0.05606096237897873,0.9862708449363708
0.056474052369594574,0.9823682308197021,0.0499122254550457,0.9877551198005676
0.056673113256692886,0.9829249978065491,0.05980440974235535,0.9862708449363708
0.05603408068418503,0.9813474416732788,0.06154467537999153,0.9855287671089172
